original_index,split_source,standard,A,B,C,winner
8022,train,"Càng ngày tao càng thấy cái suy nghĩ đi kiếm tiền về làm nhà, nó sao sao ấy nhỉ?","The more I think about it, the more I realize how strange the idea of ​​earning money to build a house seems.","The more and more I think about the idea of earning money to build a house, the more it feels kind of off, doesn't it?","Lately, the more I think about it, the more I feel like there's something off about the idea of going out to earn money to build a house.",C
9740,train,"Hồi xưa trên tôi bán 3 nghìn/cốc, đội bạn tôi thách tôi ăn được hẳn 3 cốc no căng bụng luôn.","Back in the day, they sold them for 3,000 VND per cup where I live. My friends challenged me to eat three cups and be completely full.","Back then, I sold them for 3 thousand per cup, and my friends challenged me to eat a whole 3 cups until I was completely full.","Back in the day, I sold them for 3,000 dong per cup, and my friends dared me to eat a full 3 cups until I was completely stuffed.",C
2216,train,Nhìn thấy bão là thấy mệt.,Seeing a storm makes me feel exhausted.,Seeing the storm makes me feel tired.,Seeing Bão makes me feel exhausted.,A
510,train,"Ơ kìa, lên đồ sẵn rồi mãi chẳng thấy sang đón nói lèo chưa cơ chứ?","Hey, I'm all dressed up and ready, but you still haven't come to pick me up? You're just making excuses!","Hey, I've already dressed up and I haven't seen you come to pick me up yet; you didn't even say a word?","Oh come on, I've already gotten all dressed up but you still haven't come to pick me up or even said anything, have you?",C
8419,train,chắc ông ấy từ Cần Thơ chạy về Tiền Giang chứ không phải hướng từ Sài Gòn.,"He was probably traveling from Can Tho to Tien Giang, not from Saigon.","He probably drove from Can Tho back to Tien Giang, not from the direction of Saigon.","He's probably heading from Cần Thơ back to Tiền Giang, not from Saigon direction.",B
8724,train,chừng nào đi bộ về được tới nhà nhắn tin báo cho tôi mừng nhé.,Text me when you manage to walk home so I can be happy to hear from you.,Text me to let me know when you've walked back home so I can be happy.,"Let me know when you've walked back home, okay?",A
9626,train,Có trường hợp nào ma túy bồi thường được án treo chưa anh? Hỏi thiệt đấy nghe.,Have there been any cases where drug-related offenses resulted in suspended sentences? I'm asking seriously.,Are there any cases where drug offenses were compensated for and resulted in a suspended sentence? I'm seriously asking.,"Are there any cases where drug-related offenses got a suspended sentence? I'm seriously asking, just so you know.",B
801,dev,"Ở vầy cũng khỏe, đỡ quét lau mỗi ngày","It's easier living like this, it saves me from sweeping and mopping every day.","Living like this is also quite convenient, as it saves me from sweeping and mopping every day.","It's also good for my health being here, at least I don't have to sweep and mop every day",B
953,dev,bão luôn chứ mưa là gì?,"It's always a storm, not just rain!","It's a full-on storm, not just rain.",That's nothing compared to a real storm!,B
1046,dev,vậy chưa thấy pháo Lao Bảo với Tân Thành rồi?,"So, you haven't seen the artillery at Lao Bao and Tan Thanh yet?",So I haven't seen the fireworks at Lao Bao and Tan Thanh yet?,So you haven't seen the Lao Bao and Tan Thanh fireworks yet?,B
86,dev,Đẹp xịn thế này chị Thu,"This is so beautiful, Thu!","It's so beautiful and fancy, Ms. Thu.","Sister Thu, you're so gorgeous like this!",B
932,dev,tìm em qua quán nhậu tìm nhanh hơn,Finding her through a bar is faster.,Look for me at the drinking restaurant; you'll find me faster.,Looking for me at taverns would be faster,C
479,dev,biết ngày lễ gì đâu mà đi nhỉ?,"I don't even know what holiday it is, so how can I go?","I don't even know what holiday it is, so why go?","I don't even know what holiday it is, so how am I supposed to go?",B
930,dev,Sao mà lắm thành phần ngáo vậy nhỉ?,Why are there so many clueless people?,Why are there so many clueless people?,Why are there so many crazy people around?,A
969,dev,Vậy mai mày xuống chở tao đi nha.,"Okay, will you come pick me up tomorrow?","So come pick me up tomorrow, okay.","So come down tomorrow and take me, okay.",B
493,dev,thật chứ kiểu như vậy chắc không dám lấy chồng luôn đấy.,"Honestly, someone like that probably wouldn't dare get married.","Seriously, if it's like that, I probably wouldn't even dare to get married.","Honestly, if it's like that, I probably wouldn't dare to get married at all.",C
344,dev,"Không được tặng cái gì. Mà già rồi, muốn cũng không được đây.","I didn't receive any gifts. And I'm old now, so even if I wanted to, I couldn't.","I didn't get any gifts. And I'm old now, so even if I wanted to, I couldn't.","I wasn't given anything. But I'm old already, even if I wanted to, I can't anymore.",C
220,dev,Chắc cũng chưa anh ạ. Em chưa thấy đeo túi đó.,"Probably not, sir. I haven't seen him carrying that bag.",Probably not yet. I haven't seen that bag being worn.,Probably not yet. I haven't seen that bag being worn.,B
678,dev,"Chừa lại cho em với, năm ngoái đi muộn nên hết. Uống nước mía xong về.","Leave some for me, please. Last year I came late and it was all gone. I'll drink some sugarcane juice and then go home.",Save some for me; I went late last year so it was all gone. I'll come back after drinking sugarcane juice.,"Save some for me too, last year I went late so it was sold out. After drinking sugarcane juice, I went home.",A
980,dev,tôi cũng muốn về học lại tiếng mẹ đẻ cho nó khỏe,I also want to go back and relearn my mother tongue to feel better.,I also want to go back and study my mother tongue again for peace of mind.,I also want to go back and relearn my mother tongue to keep it strong,C
991,dev,Có mẹ nữa hay sao mà thấy 7 nhỉ?,Is there a mother too? I only see 7.,"Is the mother included as well, or why do I see 7?","Is there another mom or something, why is it 7?",B
243,dev,Đâu dám có người yêu chứ.,I wouldn't dare have a boyfriend.,I wouldn't dare have a lover.,I wouldn't dare have a girlfriend/boyfriend.,C
170,dev,"Trong lành phải biết luôn, bữa nào ta dạo một bữa nhé?","The air is so fresh, let's go for a walk sometime, shall we?","It's so fresh, I have to say; let's go for a stroll sometime, okay?","You should know this right away—let's go out together sometime, okay?",A
274,dev,"Thật không trời, để học kẻo anh ấy kiểm tra bài.","Oh no, I need to study before he gives me a test.",Are you serious? I have to study in case he checks the lesson.,"Seriously, I need to study or else he'll check the lesson.",B
411,dev,Hẹn ngày tôi thết đãi ăn mừng điện thoại mới nhé.,Let's set a date for me to treat you to a celebration for your new phone.,Let's set a date for me to treat you to a celebration for my new phone.,"Let's set a date for me to treat you to a celebratory meal for my new phone, okay?",C
855,dev,Ông ở nhà làm nồi lẩu. Thích hơn nhỉ?,He'd rather stay home and make hot pot. Isn't that better?,"I'll stay home and make a hot pot. That's better, right?","He made a pot of hot pot at home. It's better, right?",B
838,dev,Đồ chua ăn với trứng vịt lộn cực ngon.,Pickled vegetables taste incredibly good when eaten with fertilized duck eggs.,Pickled vegetables are delicious when eaten with fetal duck eggs.,Pickled vegetables eaten with balut are extremely delicious.,C
528,test,Đi đâu thì cút gấp đi chúng mày ơi.,"Get out of here, you guys!","Wherever you're going, get the hell out of here quickly, you guys.","Get out of here quickly, all of you.",B
1145,test,đợt hôm trước lỡ kế hoạch đi suối đó chị.,"We missed our trip to the stream the other day, sis.","The other day, the plan to go to the stream accidentally fell through, sister.","The other day I missed the plan to go to that stream, chị.",A
168,test,Ngày nào đó đi chữa lành nhỉ?,Maybe we should go for healing sometime?,Shall we go heal ourselves some day?,"Maybe one day we could go somewhere for healing, hmm?",A
135,test,"Ngứa người, thèm đi rồi mà giờ đang bận chưa đi được.","I'm itching to go out, but I'm too busy right now.","I'm itching to go, but I'm busy right now and can't leave yet.","Feeling antsy and really want to go already, but I'm currently busy and can't go yet.",B
1330,test,Ông ấy chụp mà nhìn mặt ông ấy nản chưa!,Look how disappointed he looks in that photo!,"He took the photo, and look at how discouraged his face looks!","He takes photos but looking at his face, aren't you fed up yet!",A
940,test,"giờ rủ nó không đi đâu, phải rủ đi uống nước ngọt mới chịu đi","Now, if you invite her anywhere, she won't go; you have to invite her for a soft drink for her to agree to go.","Now if I invite them to go anywhere, they won't go; I have to invite them to go drink soft drinks for them to agree to go.","These days they won't go anywhere, you have to invite them to go drink soda for them to agree to go",B
1132,test,"chưa luôn , bận lướt facebook xem đồ ăn này.","Not yet, I'm busy browsing Facebook looking at food.","Not yet, I'm busy scrolling through Facebook looking at food.","Not yet, I'm busy scrolling Facebook looking at this food.",B
237,test,Không cho đá sân chợ Trụ đâu nhỉ?,"They won't let us play football at Tru Market, will they?","They won't let us play football at the Tru market pitch, will they?","Why won't they let us play at Chợ Trụ field, I wonder?",B
481,test,"Đi nữa không, chứ mới 2 lần chứ mấy",Are you going again? You've only been twice already.,"Want to go again? It's only been twice, after all.",Are we going again? But we've only gone twice!,C
1034,test,Kì dáng mi nhon mất từ khi nào không biết. Bây giờ đoạn thiếu đoạn thừa nhìn khiếp đảm,"I don't know when she lost her slender figure. Now, she looks horrifying with her missing and excess parts.","I don't know when I lost my slim figure. Now, with some parts lacking and others excessive, it looks terrible.","My slender eyebrows disappeared at some point I can't remember. Now with missing patches and overgrown strands, they look absolutely horrifying.",C
561,test,Chỗ nào Yên Thành thế này nhỉ?,Where in Yen Thanh is this place?,Where in Yen Thanh is this?,Where's this Yên Thành anyway?,A
543,test,"Ngồi đấy mà bình yên, ngồi tụm lại là nhao nhác như cái chợ.","Sitting there is peaceful, but gathering in groups makes it as chaotic as a marketplace.","Sit there and act peaceful, but as soon as you gather together, it's as chaotic as a market.","Sitting there peacefully, but when we gather it's chaotic like a market.",C
374,test,"đoạn này ngã tư giao nhau rộng lắm, mà chưa có đèn xanh đỏ cô à","This intersection is very wide, and there are no traffic lights yet, ma'am.","This intersection is very wide, but it doesn't have traffic lights yet, ma'am.","This intersection here is really wide, but there aren't any traffic lights yet, Auntie.",B
1572,test,tự nhiên lại bị thèm nhỉ.,I suddenly have this craving.,I suddenly have a craving.,"Suddenly, I have a craving for it again.",C
1325,test,"Tui khoái nhất vụ này này, nhớ lại vẫn thấy vui",This is my favorite part; I still feel happy remembering it.,I love this part the most; remembering it still makes me happy.,"This is what I enjoyed the most, even thinking back on it still makes me happy",
65,test,"Xã nào mà có sáu chị em gái, mấy cô chỉ được cái nói bậy, không ai nghe ai đâu","In a village with six sisters, all they do is talk nonsense; nobody listens to anyone else.","Which commune has six sisters, where the girls only know how to talk nonsense and no one listens to anyone else?","Which village has six sisters—these girls only know how to talk nonsense, nobody listens to anyone",B
30,test,Vậy lỡ có bầu làm sao?,So what if she gets pregnant?,So what if I happen to get pregnant?,So what if she gets pregnant?,B
906,test,"Em bò đã không biết rồi, chứ nói gì đến bứt cỏ.","The cow didn't know how to do it, let alone pull up grass.","I didn't even know the cow existed, let alone that it was pulling up grass.","I can barely manage as it is, let alone pull out grass.",A
471,test,Đi Hà Bội là đi đâu nhỉ?,Where exactly is Ha Boi?,Where exactly is Ha Boi?,Where is Hà Bội again?,C
1552,test,"không có công an thì mình không biết ông giàu hơn mình, trời ơi!","If the police weren't around, I wouldn't have known he was richer than me, oh my God!","If it weren't for the police, I wouldn't have known he was richer than me, oh my god!","If it weren't for the police, I wouldn't have known he's richer than me, goodness!",B
