standard,A,B,C,winner
hôm nào chọn ngày đẹp đi tiếp nhé,Let's choose a nicer day to continue our trip.,Let's pick a good day to go out again sometime.,"Let's pick a nice day and continue on, okay?",
"Sao ảnh nó thất lạc đâu cả rồi, còn được ảnh này nữa",Where did all the other photos go? Only this one remains.,"Why are all the photos lost, and only this one is left?","Why did all my photos of it go missing, at least I still have this photo too",
"chín ngon lắm đấy, hôm nào có chín chị cho em ăn thử, còn sống thì nó đắng nghét à.","Ripe ones are delicious! When you have some ripe ones, please let me try some. The raw ones are really bitter.","It's very delicious when ripe; when it's ripe, I'll let you try some, but it's extremely bitter when it's raw.","When it's ripe, it's really delicious. When you have ripe ones, let me try some. But when it's unripe, it's extremely bitter.",
không thấy tiết mục kiểm tra bảo hiểm tai nạn dân sự nhỉ?,I didn't see any section about checking civil liability insurance.,"I don't see a section for checking civil liability insurance, do I?","I don't see the segment for checking civil accident insurance, huh?",
"làm như nhà bà ấy không bằng, bà ấy rành khủng khiếp","It's as if she doesn't know anything about her house, she's incredibly knowledgeable.",It's as if it were her own house; she knows it incredibly well.,"I can't do it as well as her family does, she knows it incredibly well",
làm tôi muốn khui bia thật nhé,It makes me want to open a beer!,It really makes me want to open a beer.,"So I really want to crack open a beer, okay?",
Nhưng trâu ăn lúa bị phạt tiền liền,But buffaloes that eat rice are immediately fined.,"But if the buffalo eats the rice, there's an immediate fine.",But buffalo that eat rice are fined immediately,
vậy đi mua chắc đem cái thau theo hay lấy túi nhựa mang về,"So when I go shopping, should I bring a basin or take a plastic bag home?","So when going to buy it, should I bring a basin or use a plastic bag to carry it back?","So when going shopping, should I bring the basin along or just use plastic bags to bring things home?",
Năm này ngoài Đông Hà lúa được mùa không?,"Besides Dong Ha, is the rice harvest good this year?",Is the rice crop successful outside of Dong Ha this year?,Is the rice harvest good this year in Đông Hà?,
Cô Hằng Nguyễn có tiền đâu mà rủ đi ăn.,Ms. Hang Nguyen doesn't have any money to invite anyone out to eat.,Ms. Hang Nguyen doesn't have the money to invite anyone out to eat.,"Ms. Hằng Nguyễn doesn't have money anyway, so why would you invite her to go eat.",
2 con báo đánh rồi chọc nhau cả ngày chứ không phải thiên thần.,"Those two leopards fought and teased each other all day, they weren't angels.","Two little troublemakers who fight and tease each other all day, not angels.","2 little leopards who've already been fighting and teasing each other all day, not angels at all.",
Khó khắn gì cũng cố găng chứ.,"No matter how difficult it is, we must try our best.","No matter the difficulties, I'll keep trying.","No matter what difficulties, I'll keep trying anyway.",
"Sắp về rồi bạn , một tháng rưỡi nữa tôi về","I'm coming home soon, in a month and a half.","I'm coming back soon, I'll be back in another month and a half.","I'm about to come back, buddy. In a month and a half, I'll be back.",
"Đang lo cho vợ con, mà nghĩ tận Cần Thơ như nào làm gì","I'm worried about my wife and children, why would I be thinking about what's happening all the way in Can Tho?","I'm worried about my wife and children, but thinking about how to get all the way to Can Tho and what to do there.","I'm worried about my wife and kids, so why am I even thinking about Cần Thơ anyway",
"Ăn tối, uống một lon bia xong không dám ra đường.","After having dinner and a can of beer, I didn't dare go out.","Had dinner, drank a can of beer, and now I don't dare go out on the street.","I had dinner, drank a can of beer, and now don't dare go outside.",
chắc không sao đâu nhỉ. Không xảy ra án mạng gì chứ?,"It should be alright, right? No murders, right?","It'll probably be fine, right? No murders happened, did they?","It should be fine, right? No murder happened, right?",
"Nghèo đâu không biết, đi dọc đường toàn ô tô.","I don't know where the poverty is, but all I see along the road are cars.","I don't know about being poor, but all I see along the road are cars.","What poverty? I wouldn't even know. Walking down the street, all I see are cars.",
"về luôn chứ, mua vé giờ còn kịp đấy chị, về đi Khe Sanh nào.","Let's go now, you can still buy tickets, let's go to Khe Sanh!","Of course, come back now; there's still time to buy tickets, sister, let's go back to Khe Sanh.","Let's go right away, buying tickets now is still on time, sis, let's go to Khe Sanh.",
"Bữa sơ thèm, giờ không thèm nữa.","I was craving it the first time, but I don't anymore.","I craved it before, but I don't crave it anymore.","I was craving it earlier, but now I don't want it anymore.",
"Không thấy ""đầu con trâu"" nhỉ?","I don't see the ""buffalo head"" anywhere, do I?","I don't see the ""buffalo head,"" do I?","Can't see the ""buffalo head"" though?",
Con ai mà thấy quen nhỉ?,Whose child is that? It looks familiar.,Who is this kid? They look familiar.,Whose kid is this? Seems familiar.,
hốt lúa mệt khủng khiếp luôn Tí ơi Tí.,"Harvesting rice is incredibly tiring, Tí!","Harvesting rice is incredibly exhausting, Ti oh Ti.","I'm so incredibly exhausted from harvesting rice, oh my gosh.",
Nó lạnh cha lạnh ông vậy nhỉ?,"It's so cold, isn't it?",Why is it so freezing cold?,It's this cold? Damn!,
"hồi đấy còn bà ngoại hay nướng ăn như vầy này chị, lúc mà nhà ngoại còn nguyên một vườn đào ấy.","Back then, my grandmother used to grill peaches like this, when her family owned a whole peach orchard.","Back then, my maternal grandmother used to grill and eat them like this, back when her house still had a whole garden of peaches.","Back then, grandmother used to roast things like this for us to eat, sis, back when the grandparents' house still had an entire peach garden.",
nhìn thèm khủng khiếp luôn bày đặt giả vờ xấu hổ nữa.,"It looks incredibly tempting, and yet they're pretending to be embarrassed.","It looks incredibly tempting, and yet they're pretending to be shy.","Looking at that with such intense longing, and then pretending to be embarrassed again.",
"thật chứ, gì cũng có thể làm được, sợ thật","Seriously, anything is possible, it's terrifying.","Seriously, anything can be done, it's really scary.","Seriously, anything is possible, it's really scary",
Tiền đâu cho lại em nhỉ?,Where would I get the money to give you back?,Where is the money to give back to me?,Where should I get the money to pay you back?,
"Vậy xa đâu thì cũng chúc sinh nhật được một câu chứ, vậy bảo sao không vui","No matter how far away you are, you can still say happy birthday, right? That's why I'm so happy.","So even if it's far, I could still wish you a happy birthday, so why say you're not happy?","So no matter how far apart, you can still wish happy birthday with a message, so how can you not be happy?",
Vô Kỳ Anh lần đầu ăn,Vo Ky Anh ate for the first time.,Vo Ky Anh eating for the first time,First time eating at Vo Ky Anh,
"ơn trời, sắp không phải lụy đò rồi ông ơi.","Thank goodness, we won't have to rely on the ferry anymore, sir.","Thank god, I'm almost done being obsessed with that person, man.","Thank goodness, I won't have to be dependent on the ferry anymore, man.",
"đồn bậy thật chứ, một đứa có nửa thùng chứ nhiêu mà đồn tửu lượng cao","That's a really bad rumor. One person only has half a case of beer, so why spread the rumor that they have a high alcohol tolerance?",The rumors are really ridiculous; someone who can only drink half a bucket is being rumored to have a high alcohol tolerance.,"That's a complete lie, someone who can only drink half a crate, yet they spread rumors about having a high alcohol tolerance",
Ủa con này hồi chiều mày xem này,"Hey, look at this one, you saw it this afternoon!","Wait, you looked at this one this afternoon.","Hey, this kid - you saw this earlier this afternoon, right?",
Thế này mà không ngon nữa thì thôi.,"If this isn't delicious, then I give up.","If it's not delicious even like this, then I give up.","If this isn't delicious anymore, then forget it.",
Đang bị đứt gãy tầng địa chất. Rất nguy hiểm.,The geological strata are currently experiencing faulting. This is very dangerous.,There is a geological fault. It is very dangerous.,The geological layer is fracturing. It's very dangerous.,
"Rồi thêm câu "" lại đây nói nghe này "" làm gì vậy.","And then, why add the phrase ""Come here and listen to this""?","Then why add the sentence ""come here and tell me about it""?","Then why did you add ""come here and listen to this""?",
đi vậy chứ hỏi Việt Nam ăn mấy trái có cô nào biết đâu. Thật buồn.,"I went there, but when I asked how many Vietnamese fruits we eat, none of the girls knew. How sad.","Going like that, but if you ask how many fruits Vietnam eats, no lady would know. Truly sad.","Fine then, asking how many fruits Vietnam consumes, there's no girl who would know. So sad.",
"Đừng nói vậy, bạn xấu hổ","Don't say that, you're embarrassed.","Don't say that, you're embarrassing yourself.","Don't say that, you'll be embarrassed",
"Hồi xưa trên tôi bán 3 nghìn/cốc, đội bạn tôi thách tôi ăn được hẳn 3 cốc no căng bụng luôn.","Back in the day, they sold them for 3,000 VND per cup where I live. My friends challenged me to eat three cups and be completely full.","Back then, I sold them for 3 thousand per cup, and my friends challenged me to eat as many as 3 cups until I was completely full.","Back in the day around here, I sold them for 3,000 per cup, my group of friends challenged me to eat a full 3 cups until I was stuffed to bursting.",
Nhà ngoại không có gì để lấy nữa đâu cô.,"There's nothing left for you to take from my mother's family, miss.","There is nothing left to take from my maternal grandparents' house, ma'am.","There's nothing left to take from my grandparents' house anymore, Aunt.",
"Kìa, chúng mày xem lịch sao kìa, tôi lâu rồi không đi Vinh chơi.","Look at the schedule, guys! It's been a long time since I went to Vinh.","Look, you guys check the calendar, I haven't gone to Vinh for fun in a long time.","Look, you guys check the calendar, why is it that I haven't been to Vinh for fun in so long?",
À đấy. Nhìn giống chị Thơ.,Ah yes. She looks like Thơ.,"Oh, that's it. Looks like Ms. Tho.","Ah, there. Looks like chị Thơ.",
Có chơi không anh? tôi vào,Are you going to play? I'm coming in.,Are you playing? I'm coming in.,Are you playing? I'm in.,
Mẹ tớ 95 tuổi vẫn trèo đánh đống rơm... Nể không?,"My mom is 95 years old and still climbs to make haystacks... Amazing, right?","My mother is 95 years old and still climbs haystacks... Impressive, right?","My mom is 95 years old and still climbing haystacks... Impressive, right?",
dự báo mưa mà sao nay nắng đẹp quá trời. Kì thật chứ!,"The forecast said it would rain, but it's so sunny today! How strange!","The forecast predicted rain, but why is it so sunny today? How strange!","They said it would rain, but it's so beautifully sunny today. How weird, right?",
Dân Bến Lức xấu hổ cho,The people of Ben Luc are ashamed.,Bến Lức people are ashamed of this.,The people of Bến Lức are so ashamed.,
Giá rẻ thế chẳng lẽ lại phải sang tận HL gội đầu ư,"With such cheap prices, do I really need to go all the way to Holland to get my hair washed?","The price is so cheap, could it be that I have to go all the way to HL just to get my hair washed?","So cheap, yet I'd still have to go all the way to HL just to get my hair washed, huh",
Người Nghệ An không làm ta thất vọng. Chúc hai cháu hạnh phúc đến răng long mỏi gối nhé.,People from Nghe An never disappoint. Wishing you both a lifetime of happiness.,People from Nghe An do not let us down. I wish you two happiness until your hair turns grey and your knees grow weary.,"Nghe An people never disappoint me. Wishing you two happiness until your teeth fall out and your knees grow tired, okay?",
Tầm này lừa mà cưới đi chứ.,"At this point, you should just trick them into marrying you.","At this point, just trick them into marrying you.","At this point, just trick them into getting married already.",
"3 em giỏi lắm chứ gặp chị chắc sẽ ""nhặt được của rơi đồng thời bỏ túi luôn"".","Those three kids are so clever, but if they met me, they'd probably ""find a lost treasure and pocket it at the same time.""","You three are very clever, but if you had met me, you would have ""picked up something dropped and pocketed it at the same time.""","You 3 are really good, but if you meet me, you'll probably learn that I pick up what's dropped and pocket it right away.",
không biết cây dừa chịu nổi không đấy nhé !,I don't know if the coconut tree can withstand that!,I wonder if the coconut tree can withstand it!,I wonder if that coconut tree can even handle it!,
Đâu mà cực dữ vậy.,Why is it so incredibly difficult?,Why is it so exhausting?,It's not that intense at all.,
Sao mà đủ 40 cái?,How did you manage to get 40 of them?,How can there be enough for 40?,How could there be 40?,
Có cần đính chính lại câu không biết nhậu với không biết chửi chồng lại chút không.,Should I clarify the statements about not knowing how to drink alcohol and not knowing how to yell at my husband?,Do I need to correct the parts about not knowing how to drink and not knowing how to scold my husband a bit?,Do I need to clarify the sentence about not knowing how to drink and not knowing how to scold the husband a bit?,
không thấy em nào khóc lóc nhỉ?,"I didn't see any of the kids crying, did I?","I don't see any girls crying, do I?","I don't see anyone crying, huh?",
bình thường như vậy mà nhổ về trồng được hết bạn ơi. Về nhổ bán tôi xem.,"It's perfectly normal; you can pull them up and replant them, my friend. Pull them up and sell them to me so I can see.","Normally, they are just like that, but you can pull them up and plant them all, my friend. Pull some up and sell them to me to see.","Just like this, you can pull them up and replant them all, my friend. As for pulling them up to sell, let me check.",
"Mệt lắm em à, tiền mà nhiều thì giờ không phải đi phá lung tung nữa đâu.","I'm so tired, honey. If I had more money, I wouldn't be wasting it like this anymore.","I'm so tired; if I had a lot of money, I wouldn't have to go around struggling like this.","I'm so tired, kid. If we had more money, we wouldn't have to go out and hustle like this anymore.",
Vẫn không thấy chủ nhân của 10 triệu bình luận gì hết em nhỉ?,"Still haven't seen any comment from the owner of those 10 million comments, have you?","Still haven't seen the owner of the 10 million say anything, have we?","I still can't find the owner of 10 million comments at all, can I?",
Nuốt có được đâu mà bảo không trả,How can you say you won't pay when you can't swallow it?,"I couldn't even swallow it, so why say I wouldn't pay?","You can't even keep it, yet you're saying you won't return it",
Nên ai ngứa đầu mau xuống tôi gội cho để lát tôi còn du Xuân,"So, anyone with an itchy scalp, come down so I can wash your hair, so I can go out for the spring festivities later.","So whoever has an itchy head, come down quickly and I'll wash it for you so that I can go celebrate the Lunar New Year in a bit.","So anyone with an itchy scalp, come quickly and let me wash your hair for you, so later I can still go out and enjoy the Tet holiday.",
Chở 4 đứa chứ mấy nhỉ?,"I'm only carrying four kids, right?","Carrying 4 people, right?","It can take 4 kids, but how many more?",
định nhậu lai rai vài chai chứ nói gì nữa nhỉ?,"We just wanted to have a few drinks, what else would we talk about?","I'm planning to have a few beers and snack for a while, what else is there to say?","I was planning to hang out and have a few drinks, what else is there to say?",
muội chỉ phát hiện thiếu bát canh khổ qua nhồi thịt thôi,I only noticed that the bitter melon soup stuffed with meat is missing.,I only noticed that the stuffed bitter melon soup was missing.,I only found out that one bowl of bitter melon soup stuffed with meat is missing.,
"Ngon thật, còn thiếu thứ gì nữa, nếu không tiêu chảy chết","It's delicious, what else could it be but to die of diarrhea?","It's really delicious, but what else is missing? Otherwise, I'll die of diarrhea.","Really delicious, what else is missing—diarrhea and death?",
"đừng cúp nữa, sợ lắm rồi, cúp gì mà 6 giờ sáng tới 4 rưỡi chiều, nắng nóng khủng khiếp!","Please stop the power outage, I'm already scared! What kind of power outage is this, from 6 AM to 4:30 PM, in this terrible heat!","Stop the power cuts, I'm terrified already; what kind of power cut lasts from 6 AM until 4:30 PM, the heat is terrible!","Don't cut the power anymore, I'm so scared already. What kind of blackout lasts from 6 AM to 4:30 PM during this terrible heat!",
"Già mẹ mày, à Thái Lê còn trẻ đấy mày.","Your mother's old, oh wait, Thai Le is still young, you know.","Your mother is old, oh, Thai Le is still young.","Your mom is old, damn, but Thái Lê is still young though, man.",
nói linh tinh nó bắt cổ bây giờ.,"If you talk nonsense, they'll arrest you now.",Keep talking nonsense and they'll grab you by the neck.,I say random stuff and they grab me by the neck now.,
trông mưa lớn trôi thằng bốc phét kia cho rồi,I hope the heavy rain washes away that boastful guy.,I hope the heavy rain just washes that braggart away.,Hope the heavy rain washes that blowhard away already,
Sao không quay những cảnh rừng cây bẻ gãy đôi cho lên mạng?,Why not film scenes of trees being broken in half and post them online?,Why not film the scenes of trees being snapped in half and post them online?,Why not film scenes of forests with trees snapped in half and post them online?,
Nhà mình cũng có 6 cô con gái nhỉ?,"My family also has six daughters, right?","Our family also has 6 daughters, right?","My family also has 6 daughters, right?",
"Tôi nhìn thấy mắt bão mà khiếp. Chứ không nở hoa được nữa, thương.","I was terrified when I saw the eye of the storm. The flowers won't be able to bloom anymore, it's a pity.","I saw the eye of the storm and it was terrifying. Now it can't bloom anymore, how heartbreaking.","I saw the eye of the storm and was terrified. Now I can't bloom anymore, dear.",
ông ấy không được đi chơi nên ngày nào ông ấy cũng khóc.,"He wasn't allowed to go out and play, so he cried every day.","He wasn't allowed to go out, so he cried every day.","He is not allowed to go out, so he cries every day.",
"Trong nghĩa địa mọc đầy luôn, ăn chua chua ngọt ngọt.","They grow everywhere in the cemetery, and they taste sweet and sour.",They grow everywhere in the cemetery; they taste sour and sweet.,"It grows all over the cemetery, tasting sour and sweet.",
Cái này có khi chú rể gọi mẹ vợ bằng em nhỉ?,"Perhaps the groom calls his mother-in-law ""em"" (a term of endearment used for younger women) in this context?","In this case, maybe the groom calls the mother-in-law ""em""?","I wonder if the groom might call his mother-in-law by ""em""?",
Ngã ngang đấy chứ.,It fell sideways.,That's quite a fall.,"Fell right there, honestly.",
Cả tỉnh nghe luôn chứ huyện ăn thua gì?,"The whole province heard about it, so what does the district matter?","The whole province will hear about it, so what does the district even matter?","The whole province already heard about it, so what's a district gonna do about it?",
Túi bần như túi ổi nhỉ. Mô hình kinh tế kiểu mới,"A woven bag, like a guava bag, huh? A new economic model.","Poor bags are like guava bags, aren't they. A new type of economic model.","A bag of bần is like a bag of guava, huh. The new economic model.",
Năm nay nghe đâu đặt chỗ rồng năm ngoái.,I heard they're reserving the dragon spot from last year this year.,I heard that this year's bookings are more crowded than last year's.,"I hear this year's already booked, just like last year.",
mang cái ghe máy lên có vẻ ngon,Bringing the motorboat aboard looks promising.,Bringing the motorized boat up seems like a good idea.,bringing the motorboat up looks good,
2 tỷ được rồi. Đòi tận 10 tỷ rồi khi nào mới về được,"2 billion is enough. They're demanding 10 billion, when will they ever get it back?","2 billion is enough. Demanding as much as 10 billion, when will I ever be able to return?","2 billion is already done. Asking for as much as 10 billion, so when will I ever get it back?",
Bánh ướt ram giò lắt. Ngon ơi là ngon.,Steamed rice rolls with sliced ​​pork sausage. Absolutely delicious.,Steamed rice rolls with fried pork sausage. So incredibly delicious.,Bánh ướt ram giò lắt. So delicious!,
Ở nhà đóng cửa tự chơi một mình có được không,Is it okay to stay home and play by myself with the door closed?,"Is it okay to stay home, close the door, and play by myself?","Can I just stay home, close the door, and play alone?",
Ai bảo anh hùng anh bá rồi thành báo luôn.,Who said that heroes and tyrants turn into leopards?,Who said being a hero and being powerful leads to becoming a burden?,Who said the hero turned into a lord and became a reporter too.,
Qua vừa bảo mày đây này.,I just told you this.,I told you just yesterday.,I literally just told you right here.,
Chiều đi ngắm biển đỡ thèm chứ không tắm,"We went to admire the sea in the afternoon to satisfy our craving for swimming, but we didn't go swimming.","I'll go look at the sea this afternoon to satisfy my craving, but I won't swim.","Went to see the sea in the afternoon to ease the longing, but didn't swim",
Tàn ác thật sự. Cho bà ấy đi tù là vừa rồi,That's truly cruel. She deserves to be sent to prison.,Truly cruel. Putting her in prison is only fitting.,"That's truly cruel. She deserves prison time, plain and simple.",
