standard,A,B,C,winner
hôm nào sắm cái này mới được,I'll have to buy this sometime.,I'll have to get one of these someday.,I need to get this one someday,
"Ra bắt, tối về làm nồi canh chua.","Go out and catch them, then come home in the evening to make a pot of sour fish soup.","Go catch some, and tonight I'll make a pot of sour soup.","Went out to catch some, will come back in the evening to make a pot of sour soup.",
"Tới nhà em rồi. Rẽ, rẽ anh ơi.","We've arrived at my house. Turn, turn, sir.","I've arrived at my house. Turn, turn here!","I've arrived at my house now. Turn, turn please.",
"Giờ thì ngược lại. Khi yêu, em ỉa vẫn nói thơm. Giờ thì thôi.","Now it's the opposite. When we were in love, I'd say my poop smelled good. Not anymore.","Now it's the opposite. When in love, I'd even say my poop smelled good. Now, no more.","Now it's the opposite. When I was in love, even when I farted, you'd still say it smelled nice. Now, forget it.",
Này xứng đáng có 10 người yêu.,This guy deserves to have 10 lovers.,This deserves to have 10 lovers.,"Hey, you deserve to have 10 people who love you.",
"Cá này ăn không ngon đấy, bà con tránh ra để tôi.","This fish doesn't taste good, everyone please move aside so I can eat.","This fish doesn't taste good, everyone stay away and leave it for me.","This fish isn't good to eat, folks, get out of my way and let me [have it].",
nói vậy xem chứ anh em mình nộp 7 triệu bây giờ đấy,Let's just say we're paying 7 million now.,"Just say that, because we are paying 7 million now.","I'm telling you, we're contributing 7 million right now.",
Ra ruộng coi họ làm gì chưa nghe nói trước trường tiểu học.,Going to the fields to see what they're doing—I hadn't heard anything about that before going to elementary school.,Go to the field to see what they are doing; I heard it was in front of the primary school.,"Going to the fields to see what they're doing, I've never heard of this before elementary school.",
Cái chỗ này là cái chỗ cho mấy anh lên đỉnh là phải,This place is the perfect spot for guys to reach their climax.,This place must be for the guys to reach their peak.,"This is the spot where you guys reach the top, for sure",
"Vợ Chồng nhà này tình cảm nhỉ, mãi giờ mà đang bé.",This couple is so affectionate; they're still having a baby even now.,This couple is so affectionate; they're still like this even though they're grown.,"This couple is so affectionate, still lingering around even though they're still young.",
đợt đi đã có cái nhảy xa này đâu?,"There wasn't any long jump activity on that trip, was there?",Was this long jump thing even there during the trip?,We didn't have this long jump on that trip though.,
"Bạn ơi, cho mình địa chỉ, mình có đoàn từ thiện xin cho chị mấy cái giường, tội quá","Hey friend, can you give me the address? I have a charity group that needs some beds for this woman; she's in such a terrible situation.","Hey, please give me the address; I have a charity group that wants to give her a few beds, it's so heartbreaking.","Hey, give me the address. Our charity group would like to donate some beds to her. Poor thing.",
"Dì 2 bơi không? kem, Su đâu rồi bạn!","Auntie, are you going swimming? Kem, where's Su?","Does Aunt 2 swim? Where are Kem and Su, friend!","Is aunt 2 swimming? Kem, Su, where are you!",
"Tôi ở Thanh Hóa nhưng tôi ở nông thôn, tôi thích hơn ở thành phố.","I live in Thanh Hoa, but I live in the countryside, and I prefer that to living in the city.","I live in Thanh Hoa, but I live in the countryside; I prefer it over the city.",I live in Thanh Hóa but in the countryside. I prefer the city more.,
Cái quán trong ngõ em hay ăn đó mới hợp gu ta.,That restaurant in the alley where I usually eat is more to my liking.,That shop in the alley where I often eat is more my style.,"That shop in the alley that I always eat at, it just fits my taste.",
Khôn như thế này xóm chúng tôi đầy.,There are plenty of people this clever in our neighborhood.,Our neighborhood is full of people as clever as this.,Our neighborhood is full of people this smart.,
Lụt nhẹ nhìn cảnh bà con ta đi giăng lưới bắt cá cũng vui gì đâu nhỉ?,"Even during a mild flood, watching our people cast their nets to catch fish isn't exactly a joyful experience, is it?","With light flooding, watching our people cast nets to catch fish is quite joyful, isn't it?","During mild flooding, watching our folks go cast nets to catch fish isn't really all that fun, is it?",
"Không bỏ qua trò chơi nào, vậy mà vẫn chưa trúng.","I didn't skip any games, yet I still haven't won anything.","I didn't skip any games, yet I still haven't won.","I didn't skip any game, yet I still haven't won.",
"khổ quá, bao nhiêu mồ hôi công sức, trời hại rồi, thương bà con quê hương tôi","It's so sad, all the sweat and hard work, and now it's all been ruined by fate. I feel so sorry for my fellow villagers.","How miserable, so much sweat and effort, the heavens have played a cruel trick, I feel so sorry for the people of my homeland.","It's so hard, all that sweat and hard work, the weather has ruined everything, I feel so sorry for my fellow villagers back home.",
Rồi tôi về có ai dắt tôi đi ăn không này?,"When I get home, will anyone take me out to eat?","Then when I return, will anyone take me out to eat?","So when I get home, will anyone take me out to eat?",
xem có nhầm con nào trong đây không.,Check if I've mistaken any of them for one of these.,See if any of the ones in here are mistaken.,Check if any of the kids here are mixed up.,
Nó không có gì để mà đăng nữa đấy.,There's nothing left to post.,There is nothing left for me to post.,It doesn't have anything left to post anymore.,
Đi tìm miếng thịt,Go find a piece of meat,Going to look for some meat,Going to find some meat,
"Đêm đấy, còn một thùng đấy là đủ rồi đấy.","That night, one more barrel would be enough.","That night, one more crate was enough.","That night, having just one more crate would be enough.",
bữa nay từ thiện đang được đề cao ấy!,"These days, charity is highly valued!",Charity is being highly emphasized these days!,Charity is being highly valued these days!,
Chỗ này là chỗ nào mà tao không biết.,I don't know where this place is.,Where is this place that I don't know?,Where is this place? I don't know.,
không về nhà mà về nhà nghỉ?,"Instead of going home, they went to a guesthouse?","Not going home, but going to a motel?",Not going home but going to a motel?,
Đây là ông ngoại tôi mà sao tự nhiên quay ông ấy rồi nói lung tung vậy. Ông ấy đạp xe tập thể dục thôi chứ ông ấy giàu lắm.,"This is my grandfather, why are you suddenly filming him and saying all sorts of nonsense? He's just riding his bike for exercise; he's very rich.","This is my maternal grandfather, so why did you suddenly film him and say random things? He is just riding a bike for exercise, but he is actually very rich.","This is my grandfather, why did you suddenly film him and say random stuff like that? He's just cycling for exercise, he's actually very rich.",
Tôi mà liều như thế này thì có người yêu lâu rồi bạn ơi.,"If I were this daring, I would have had a girlfriend a long time ago, my friend.","If I were that daring, I would have had a lover a long time ago, my friend.","If I were reckless like this, I would have had a partner long ago, my friend.",
"Chạy gì kinh thế, trời đất quỷ thần linh ơi?","What kind of crazy running is that, for heaven's sake?","What on earth are you running so fast for, oh my god?","What's the big rush, good heavens?",
"Quán nào ram ngon ngon, chứ chợ ta ram không ngon.","There are some restaurants that serve delicious fried spring rolls, but the ones in our market aren't good.",Which shop has good ram? The ones at our market aren't good.,"I'm looking for a shop that serves good ram, because the ram at our local market isn't tasty.",
Biểu diễn chút làm gì căng?,What's the big deal about just a little performance?,Why be so tense over a little performance?,Why get all uptight about just a little performance?,
"Dân chúng tôi nói là làm, không nói cũng làm luôn.","Our people are people of action; they say what they mean and do what they say, even without being told.","Our people do what we say, and even if we don't say it, we still do it.","Our people say it and do it. Even when we don't say anything, we still get it done.",
Trời mà màu này thì hiểu bão đến mức nào rồi.,"If the sky is this color, you can imagine how serious the storm is.","If the sky is this color, you can imagine how severe the storm is.",The sky is this color—you can tell just how bad the storm is.,
Ăn tại gốc là ngon nhất.,Eating it at the source is the best.,Eating at the source is the best.,Eating it right at the source is the most delicious.,
Tôi gầy được giống như thế này thì ngon.,"If I could get this thin, it would be great.",It would be great if I could get thin like this.,It would be nice if I could be thin like this.,
"Có uống đâu, đi tốn mồi thôi.","I didn't drink anything, I just wasted some food.",I'm not drinking; I'm just going to eat the snacks.,"We're not even drinking, let's just go spend money on food anyway.",
"Chỉ ăn với chuối dưa hấu, xoài chứ không có ăn cơm với mận nhé","You only eat plums with bananas, watermelons, and mangoes; you don't eat them with rice.","Only eat with bananas, watermelon, and mangoes; don't eat rice with plums.","I'll only eat bananas, watermelons, and mangoes, but I won't eat rice with plums, okay?",
Không có cái nào tử tế cả các nàng ơi,"None of them are any good, ladies.","None of them are decent, girls.","None of them are any good at all, girls",
"Ở Sài Gòn mà chơi, ai cho ra đây","If you're going to have fun in Saigon, who would let you come here?","I'm playing in Saigon, who would let me come here?","Playing in Saigon, but who let you out here?",
chạy cho quen sau này trúng độc đắc đi xe hơi khỏi bỡ ngỡ,"Get used to driving so that when you win the lottery and drive a car later, you won't be surprised.","Run to get used to it, so that if I win the jackpot later, I won't be overwhelmed when driving a car.","Practice running now so that when I win the jackpot and drive a car someday, I won't be caught off guard",
Cái đó chịu á. Cứ được giải là liên hoan à. Bù thiếu tính sau chứ em.,"That's impossible. Every time we win an award, we have a party. We'll figure out the rest later, okay?","I can't deal with that. Every time there's a prize, we have a party. We can make up for the shortage later.","That's acceptable. As long as we get a prize, it's a celebration, right? We'll make up for the shortfall later, okay?",
"Khoe làm gì vậy. Chúng mày biết, chúng mày tán tỉnh chồng tao thì sao?","Why brag? You know what? You're flirting with my husband, so what?","Why are you showing off? You know, what if you flirt with my husband?","Why are you showing off? You all know what would happen if you flirted with my husband, right?",
Ai thấy cá kho bên đấy đắt quá thì mua cá bên em xách theo ăn bánh căn nhé,"If you find the braised fish over there too expensive, buy some from me and bring some along to eat with banh can (a type of Vietnamese pancake).","If anyone finds the braised fish over there too expensive, buy fish from me to bring along and eat with bánh căn.","Anyone who finds the braised fish over there too expensive, buy fish from me and bring it along to eat with bánh căn, okay?",
"Bà con lo mà chạy trốn đi, chứ bão này mà vào thì nó quét tan sạch nhà cửa hết đấy.","People should hurry and run away, because if this storm hits, it will sweep away all the houses.","Everyone, please focus on escaping, because if this storm hits, it will wipe out all the houses.","Everyone, be worried and run away to safety, because if this storm hits, it will sweep away all the houses completely.",
"ngay đối diện nhà, chếch lên tí nhỉ .","Right across from the house, just a little further up.","Right opposite the house, slightly offset, right?","Right across from my house, but a bit to the side.",
Bỏ phố về đi chăn trâu thôi,Let's leave the city and go herd buffaloes!,Let's leave the city and go herd buffaloes.,Let's just forget the city and go herd buffalo.,
Có vài đứa như 50 tuổi cố trang điểm để lấy tí màu.,"Some people, like 50-year-olds, try to put on makeup to get a bit of color.",There are a few people who look like they're 50 and try to wear makeup just to get a bit of color.,Some people around 50 years old trying hard to put on makeup just to get some color.,
Hiệp một thua một trái tôi đi nhậu.,"If we're losing by one goal in the first half, I'll go out for drinks.","If we lose by one goal in the first half, I'm going drinking.","First half, lost by one goal—I'm going for a drink.",
Con rắn gì mà nhìn thấy sợ nhỉ?,What kind of snake is that? It looks terrifying!,What kind of snake is it that looks so scary?,What kind of snake is so scary-looking?,
"Em đây mà bồ bản là nơi nào em nhỉ, chị nhìn không ra em?",Where is that place you're looking for? I can't recognize you!,"I'm here, but where is ""bồ bản,"" dear? I can't recognize you.","I'm right here, but where are you that I can't recognize you?",
Đau ruột với chúng mày được đấy.,You guys could give me a stomachache.,I'm so fed up with you guys.,"I can't stand you guys, honestly.",
lúc này là cái bữa mình thắc mắc này,This is the moment I'm wondering about this.,This is the time when I was wondering about this.,Right now is when I'm wondering about this,
Cầu dùng cho cả đoàn xe tăng đi qua mà anh chắc chắn mới là quân đội chứ.,"The bridge was used by entire convoys of tanks, and you're sure it belonged to the military?","The bridge is used for an entire column of tanks to cross, and you're sure that's what makes it the military.","A bridge for an entire tank convoy to pass through, and you're sure it's the military, right?",
Vậy là ai ăn trộm lái rồi.,"So, who stole the car and drove it?",So someone stole the driver.,So someone already stole and drove it away.,
màu sắc thì không giống nhưng view thì giống.,"The colors are different, but the view is the same.","The colors are not the same, but the view is.","The colors aren't the same, but the view is.",
chị lớn nghèo nhường lại chị thứ đi.,"The older sister, being poor, gave way to the younger sister.","The older sister is poor, so let her give way to the second sister.","The older sister is poor, so she lets the younger sister have it.",
"Chứ mà đông như thế này địt phát thối um lên đấy, từ từ rồi về.","With so many people around, it'll stink up if you just defecate once. Take your time and go home.","With it being this crowded, if I fart, it'll stink up the whole place, so I'll take my time and then go home.","With this many people, it's going to start stinking up the place, let's take our time and head back.",
"Ừ nhỉ đọc lộn, nói mai kêu long nữa chứ.","Oh right, I misread it. I said Long should be called tomorrow too.","Oh right, I read it wrong, and I even said I'd tell Long tomorrow.","Oh right, I misread. I'll let Long know again tomorrow.",
Gặp mình là đi tiếp chứ xanh đỏ gì cũng giống nhau thôi,"Meeting me means moving on, whether it's green or red, it's all the same.","If you meet me, just keep going; red or green lights are all the same.","Whenever we meet, I just keep going anyway—green or red lights, they're all the same to me.",
"Có cả con gái nữa kìa, tôi mà là bố mẹ mấy đứa này thì chắc về tôi vứt vào xay lúa luôn.","There are daughters too! If I were their parent, I'd probably throw them into the rice mill right away.","There are even girls there; if I were their parents, I would probably throw them into the rice mill as soon as they got home.","There are daughters too, if I were the parents of these kids, I'd probably throw them into the rice mill.",
làm trò gì khó coi thế,What kind of disgusting thing are you doing?,What kind of unsightly thing are you doing?,That's so embarrassing,
"Thôi, tội quá đi ông cố nội","Oh dear, that's terrible, great-grandfather!","Stop it, that's just too pitiful, man.","Oh, I feel so sorry for great-grandfather",
"Khi đó đi mây về gió, tháng về 2 lần chứ ai đi tàu này nữa nhỉ?","Back then, people traveled by boat, coming back twice a month; who would still take this ship then?","Back then, we traveled by wind and clouds, and the monthly salary came twice; who would take this train anymore?","At that rate, moving at a snail's pace and only running twice a month—who would even take this train anymore?",
"Bạn ai thấy dáng quen, bộ đồ quen thì gửi cho anh đó coi cái cho ngại dùm cái","If anyone recognizes the figure and outfit, please send it to him so he can see it and feel a little embarrassed.","If anyone sees a familiar figure or familiar clothes, please send it to him so he can see it; I'm embarrassed on his behalf.","If anyone sees a familiar figure or outfit, please send it to him to look at, I'm too embarrassed to do it myself",
biết vậy hồi đấy để đẻ trứng vịt lộn ăn cho rồi.,"If I had known that back then, I would have just laid fertilized duck eggs to eat instead.","If I had known, I would have just laid balut eggs to eat back then.","If I'd known, I would have let it lay balut eggs to eat back then.",
"thôi ngán kinh khủng, ngán tận cổ rồi.","I'm so fed up, absolutely fed up.","Enough, I'm absolutely sick of it, sick to death.","I'm so done, I'm incredibly fed up, completely sick of it.",
Vào xốc mà thấy 10 nghìn 20 nghìn thì chơi làm gì cho tốn tiền nộp nhà nước,"If you see a payout of 10,000 or 20,000 VND, why bother playing and wasting money paying the government?","If I go into the ""xốc"" and only see 10 thousand or 20 thousand, why bother playing and wasting money paying the state?","If you only get 10,000 or 20,000 dong from opening loot boxes, then why bother playing at all? You're just wasting money that goes toward taxes for the state.",
Cậu mua bộ vợt này mà chơi cho khoẻ.,You should buy this set of rackets to improve your health.,You should buy this racket set so you can play more comfortably.,Buy this racket set and play for your health.,
Có mà bão đẩy bạn về chứ xe nào chạy.,"The storm would have to push you back, not drive you.",The storm would be pushing you back; no car is running.,"I only wish a storm would push you back, because what car would even dare to run.",
"Sau này mặc đồ đen, đội nón trắng nha , dễ nhận dạng","Later, wear black clothes and a white hat, it'll be easier to identify you.","In the future, wear black clothes and a white hat, so it's easier to identify you.","From now on, wear black and a white hat, okay? Easy to recognize.",
"Lái xe phải biết chiều cao của xe chứ không phải lái bon bon là được, thiếu tầm quan sát",Drivers need to know the height of the vehicle; they can't just drive recklessly without adequate visibility.,"Drivers must know the height of their vehicle; it's not enough to just drive along blindly, lacking a proper field of vision.","Drivers need to know their vehicle's height, not just drive carelessly and lack awareness.",
sai này có con gái chắc cho đi nhậu vậy đấy,"If this guy has a daughter, he'll probably take her out drinking.","If I have a daughter in the future, I'll probably let her go drinking like that.","This guy has a daughter, he'd probably just let her go drinking like that.",
Mẹ nói mày hay khoe cày như trâu!,Mom says you always brag about working like a bull!,Mom said you often brag about working like a buffalo!,My mother says you're always bragging about how hard you grind like a buffalo!,
Nhìn vậy ai dám về đâu.,"Seeing that, who would dare go home?",Who would dare go back looking like that.,"At this rate, who would dare to go back.",
Mấy gia đình đang nợ tiền nó thì sao nhỉ? bùng à,What about the families who owe him money? Will they default on their payments?,What about the families who owe them money? Are they just going to bail?,What about those families that owe it money? Are they going to default?,
Cứ mà hễ bí ý tưởng là uống một lon Saigon Đào nhỉ?,"Whenever I'm short on ideas, I just drink a can of Saigon Peach, right?","Whenever I'm out of ideas, I just drink a can of Saigon Peach, right?","Whenever I run out of ideas, I just drink a can of Saigon Đào, right?",
nói ra làm gì thêm xấu hổ vậy mày.,Why bring it up and make things even more embarrassing?,"Why say it? It's just more embarrassing, man.","Why even mention it, just making it more embarrassing for you like that.",
Mọi người biết chỗ không chỉ em với.,Does anyone know where it is? Please tell me.,Does anyone know the place? Please tell me.,Does everyone know the place? Tell me too.,
Có một quán hủ tiếu trong chợ ăn thật là ngon.,There's a noodle shop in the market that serves really delicious noodles.,There is a noodle soup shop in the market that is truly delicious.,There's a hủ tiếu shop in the market with really delicious food.,
bạn chuyển qua cho họ tiền khi nào hay gì?,When or how did you transfer the money to them?,"When did you transfer the money to them, or what happened?",When do you transfer money to them or what?,
ba bốn tỷ cho tôi là tôi gửi ngân hàng ăn thôi không ham nữa đấy.,"If you gave me three or four billion, I'd just put it in the bank and live off it; I wouldn't be interested in that anymore.","If I had three or four billion, I would just put it in the bank to earn interest and wouldn't be greedy anymore.","Three to four billion is enough for me - I'd just put it in the bank and live off the interest, I don't need anything more than that.",
"Bữa nay ở chỗ nào không như vậy , chắc gì Hà Tĩnh đã bình yên . Khi nào xã hội hết ma túy mới bình yên nhé bạn","Things aren't like this everywhere these days; who's to say Ha Tinh is truly peaceful? Society will only be peaceful when it's free of drugs, my friend.","Is there anywhere like that today? I'm not sure if Ha Tinh is even peaceful. It will only be peaceful when society is free of drugs, my friend.","Nowhere is peaceful like that, so how could Hà Tĩnh possibly be peaceful? Only when society gets rid of drugs will it be peaceful, my friend.",
chứ tại sao vào trong đấy ngồi làm gì.,Why would you go inside and sit there?,But why go in there and sit?,Why would anyone go in there and just sit around?,
Hôm trước tôi chạy DAT ở đây muốn ngủ gục luôn này,The other day I was driving a DAT (Driving Test) here and almost fell asleep.,"The other day, I ran DAT here and almost fell asleep.","The other day when I did DAT here, I really wanted to just pass out from exhaustion.",
