standard,A,B,C,winner
Nhìn ảnh ức chế thật chứ,Looking at those pictures is really frustrating.,Looking at the photo is truly frustrating.,Looking at this photo is really frustrating,
hôm nào về làm một trận là tuyệt vời!,It would be great to have a game when I get back!,It would be wonderful to have a match when I return someday!,It would be awesome to come back someday and have a match!,
Câu chuyện này kể đến già nhỉ?,"This story is something you can tell even when you're old, isn't it?",Will this story be told until we're old?,"This story goes on until we're old, huh?",
Sợ tối chưa kịp tân hôn...,Afraid it would be too late for the wedding night...,I'm afraid we won't have time for the wedding night tonight...,Afraid the evening will come before I can get married...,
không ấy cho quay lại mồng 5 tháng 5 đi nhỉ,Why don't we go back to May 5th?,"No, let's go back to May 5th, shall we?","That person should let them come back on May 5th, shall we?",
đấy chắc tuỳ ông thôi bạn nhỉ.,"Well, I guess it's up to you, right?","That probably depends on you, doesn't it?","That probably just depends on you, right, friend?",
"Chị gái đi từ Vinh ra nấu cháo cho, sợ đêm sốt này kia chứ bình thường không nói chuyện gì với nhau.","My older sister came all the way from Vinh to cook porridge for me, worried about me having a fever or something, but normally we don't talk much to each other.","My older sister came all the way from Vinh to cook porridge for me, fearing I might get a fever tonight or something, though normally we don't even talk to each other.","My older sister came all the way from Vinh to cook porridge for me, [she's] worried [I might] get a fever tonight and all, but normally we don't talk to each other at all.",
"hơi bị lâu nhé chị, tìm quán lề đường khác thôi","That's taking a bit long, ma'am. Let's find another street food stall.","It's taking quite a while, let's just find another street-side eatery.","You're taking a bit too long, sis. Let's just find another street-side stall instead.",
"Mấy món này dai lắm, ăn đau răng.",These things are very chewy; they hurt my teeth when I eat them.,These dishes are very chewy; eating them makes my teeth ache.,"These are so chewy, they hurt my teeth.",
Đứng trước bar xem nó đi vào rồi ra thôi chứ vô chi mấy chỗ này tốn tiền,"Just stand in front of the bar and watch them go in and out; there's no need to go in, it's a waste of money.",Just stand in front of the bar and watch them go in and out; going into places like this is just a waste of money.,"I just stand outside the bar watching people come and go, no point going in these places, it's a waste of money",
Lễ mà ra đường làm gì không biết.,I don't know why they're out on the streets during a holiday.,I don't know why I'm going out on a holiday.,"It's a holiday and why am I outside, I don't know.",
Lưu vào để hôm nào mời tôi đi.,Save this so you can invite me sometime.,Save this so you can invite me to go some day.,Save it so you can invite me to go sometime.,
Thấy một phát tự nhiên bạn đằng này yêu bạn đằng nó luôn rồi đấy.,"I saw him once, and suddenly I fell in love with him.","As soon as they saw each other, this person suddenly fell in love with that person.",Just noticed that this friend here has suddenly fallen in love with that friend already.,
"khách đi xe buýt gần nhà, mẹ này tức con dâu, không nói được dâu nên đi nhảy cầu đấy","The passenger was on a bus near her house. This mother was angry with her daughter-in-law, couldn't reason with her, so she jumped off a bridge.","The guest took a bus near the house; this mother was so angry with her daughter-in-law that, unable to deal with her, she went to jump off a bridge.","A passenger on the bus near my house, this mother is furious with her daughter-in-law, can't talk to the daughter-in-law, so she went to jump off a bridge.",
"Admin đăng những bài này mới đúng, dân ta phải như thế này.","Admin, posting these articles is the right thing to do; this is how our people should be.",Admin should post these kinds of posts; our people should be like this.,"Admin should post these kinds of posts, this is how our people should be.",
"thật, đâu mà dễ lừa vậy nhỉ?","Seriously, it's not that easy to fool them, is it?","Really, how could I be so easy to fool?","Seriously, it's not that easy to trick, is it?",
đoạn nào thế nhỉ?,Which part is that?,Which part is it?,Which part though?,
mới đầu tao tưởng chú mày ấy.,"At first, I thought it was your uncle.","At first, I thought it was you.","At first, I thought it was that person.",
Được cái thấy đâu kéo xe là có phần.,"The good thing is, wherever you see someone pulling a cart, you get a share.","The good thing is that whenever a cart is being pulled, there's always a share for me.","At least whenever we spot a car being towed somewhere, there's a share in it.",
Chứ quảng cáo thì vậy mà vô thì đâu có tặng đâu,"The advertisements say one thing, but when you actually go in, they don't give anything away.","But the advertisement said so, yet when I went in, they didn't give it away.","But the ad says that, and when you actually go they don't give it for free at all.",
Làm ăn uy tín như này còn nhiều đơn nữa kìa.,"With such a reputable business, they'll get many more orders.",Doing business with this kind of credibility will bring in many more orders.,Doing business this reliably will definitely bring even more orders.,
"Trời thì bão, đá thì dở mà vẫn rủ nhau ra làm màu","It was stormy, the rocks were bad, but they still went out to show off.","The weather is stormy and the ice is bad, yet we still invite each other out just to show off.","The weather is stormy, the field is terrible, but they still invited each other out just to show off",
Làm em thì được chứ làm rể quê em thì làm khi nào cho hết rể trong làng.,"Being a younger sibling is fine, but being a son-in-law in my village... when will I ever run out of sons-in-law in the village?","Being my partner is fine, but if you become a son-in-law in my hometown, when will there ever be any non-sons-in-law left in the village?","Being my sweetheart is fine, but being a son-in-law from my village? There's never enough sons-in-law in the village for that!",
Đúng là ai dùng dating xong cũng toàn nói là trên đấy toàn gì đâu không thôi,It's true that everyone who uses dating apps says that it's full of nonsense.,It's true that everyone who uses dating apps ends up saying that those places are full of nothing but weirdos.,It's true that everyone who tries dating apps always ends up saying they're full of nothing but nonsense anyway,
Sao vậy chị Phương Mun nhỉ?,"What's wrong, Ms. Phuong Mun?","Why is that, sister Phuong Mun?","Why is that, Phương Mun?",
Nghe câu chuyện của bạn xong muốn đắp chăn ngay thôi,"After hearing your story, I just want to pull myself under the blanket right away.","After hearing your story, I just want to go wrap myself in a blanket right away.","After hearing your story, I just want to pull up the covers right now",
"Nghỉ thêm cũng không làm sao đâu. Cứ phát huy là được, thầy cô không nói gì đâu.","Taking extra time off won't hurt. Just keep up the good work, the teachers won't say anything.","Taking more time off is fine. Just keep it up, the teachers won't say anything.","Taking more breaks is totally fine. Just keep it up, the teachers won't say anything.",
Mai đi mà gặp một đống này thì chỉ có phê luôn nhỉ?,"If I were to encounter a bunch of these tomorrow, I'd be blown away, wouldn't I?","If I go tomorrow and encounter a bunch of this, it'll be absolutely amazing, right?","If I go tomorrow and encounter this bunch, I'd only get hyped, right?",
thế này tôi có lẽ không có cơ hội được trải nghiệm nữa.,I probably won't have the chance to experience something like this again.,"In this case, I probably won't have the chance to experience it anymore.","This way, I probably won't get to experience it anymore.",
"Xem kĩ cột mốc, sau này đi cho đúng.",Check the landmarks carefully so you can navigate correctly later.,"Look closely at the milestone, so that you can go the right way in the future.","Look carefully at the landmark, so you can find the way later.",
bố mẹ bảo tao học đại học là tao rơi nước mắt chúng mày à.,"When my parents told me to go to university, I burst into tears, guys.","When my parents told me to go to college, I burst into tears, you guys.","When my parents told me to go to college, I cried, you guys.",
"Nghiện món này, giò lắt bánh ướt cuốn ram.",I'm addicted to this dish: pork sausage slices wrapped in rice paper and spring rolls.,"I'm addicted to this dish, steamed rice rolls with pork leg and fried spring rolls.","Hooked on this dish - giò lắt, bánh ướt, and cuốn ram.",
"Tối nay tôi làm về muộn, cuối tuần đi bạn ơi","I'm working late tonight, let's go this weekend!","I'm getting off work late tonight, let's go this weekend.","I'm working late tonight, let's go this weekend, my friend.",
Tiền ở đâu để mua khu này sao admin không chỉ luôn.,Where did the money to buy this area come from? Why didn't the admin just tell me?,Where is the money to buy this area? Why doesn't the admin just show me?,Where's the money to buy this area? Why doesn't the admin just tell us?,
mình gặp ba cái đồ này mình sợ lắm,I'm really scared when I see these three things.,I'm terrified when I encounter these three things.,I came across these three things and I'm very scared.,
Mạnh ấy chứ.,"He's strong, actually.",It's Mạnh.,That one's strong indeed.,
Bà già rồi đi làm gì cho mệt.,"She's old, why bother working?","You're old now, why go to work and tire yourself out?","She's already old, why should she go work and exhaust herself?",
Chắc tối nay phải đặt quá.,I'll have to order it tonight.,I'll probably have to book it tonight.,I probably have to order too much tonight.,
Bây giờ có lẽ không ai nói ghép nữa.,"Now, perhaps no one would say ""grafting"" anymore.",Perhaps no one talks about matching anymore now.,"Now probably no one says ""ghép"" anymore.",
"Nhìn tội nhỉ, các chú Công An sao không hỗ trợ thêm cho chị ít trăm nghìn",That's so sad. Why didn't the police officers give her a few hundred thousand more?,It looks pitiful; why didn't the police officers support her with a few hundred thousand more?,"So pitiful, right? Why don't you police officers give me a few hundred thousand more?",
Chỗ nào ở Nghệ An đó?,Where in Nghe An is that place?,Where in Nghe An is that?,Where in Nghệ An is that?,
"không biết nữa , khi nào tao lên thì ra xem","I don't know, I'll check when I get there.","I don't know, when I go up, I'll go out and see.","Not sure anymore, when I go up I'll come out and check.",
Tìm một mụ nữa là đủ 5 anh em siêu nhân,Find one more woman and we'll have five Power Rangers.,Find one more woman and we'll have a full set of five Power Rangers.,Just need to find one more girl and we'll have our 5-member Power Rangers team,
Hôm nay đi nhà cô Thùy ta đi tắm biển luôn bạn nhỉ?,"Today, after visiting Thuy's house, we can go swimming at the beach, shall we?","Since we're going to Ms. Thuy's house today, shall we go swimming in the sea too?","Today we're going to Aunt Thùy's house and swimming at the beach too, right?",
"Nhắc tên facebook đi dì, chứ bình luận thế này anh không thấy được","Please mention your Facebook name, auntie, because I can't see the comments like this.","Please give me your Facebook name, auntie, because I can't see it if you comment like this.","Tag me on Facebook, auntie, because with comments like this I can't see them.",
đi lạc ở đâu để tao chở về cho,Where are you lost? Let me give you a ride home.,Where are you lost? I'll give you a ride back.,Where did you get lost so I can pick you up and bring you back?,
"Đấy! nghe tăng lương một cái là hớn hở ngay, điên mà mời tôi về nhậu vậy đó hả.","There! As soon as he heard about the raise, he was overjoyed, and then he even invited me over for drinks – is that how crazy he is?","See! As soon as you hear about a pay raise, you're immediately thrilled; it's crazy that you're inviting me over for drinks like that.","There! As soon as hearing about a salary raise, they're overjoyed right away, crazy enough to invite me over to drink like that, huh.",
Ngó lơ cô nhỉ?,Are you ignoring her?,"Ignoring me, aren't you?","Ignoring her, huh?",
"Mày có thôi đi được không bạn, tao ở xa nhìn thèm chảy nước miếng.",Can you please stop it? I'm drooling just looking at this from afar.,"Can you please stop it, friend? I'm watching from afar and drooling.","Will you stop it, friend? I'm far away watching and drooling with longing.",
"Ôi xôi bắp , món ăn yêu thích của chị này","Oh, sticky rice with corn, this is her favorite dish.","Oh, corn sticky rice, this woman's favorite dish.","Oh, xôi bắp (sticky rice with corn), this girl's favorite food!",
"Sao rồi anh, tình hình cuối năm được mời đi cưới không nhỉ?","How are things going, man? Are you getting any wedding invitations at the end of the year?",How's it going? Any wedding invitations for the end of the year?,"How have you been, anh? Have you been invited to any weddings at the end of the year?",
"Để cho chuyển đi, chuyển xong người mới khôn. Sao dễ tin người vậy không biết?","Let them move on, let them learn their lesson after they've moved. Why are you so gullible?",Let them move; they'll only get smarter after they've moved. I don't know why they are so gullible.,"Let them transfer it away, only then does the person become wise. Why are you so gullible, I wonder?",
Quán bà khi nào mình đi qua cũng ghé ăn ngon mà và nói chuyện với bà cũng vui là hết mệt.,"Whenever I pass by her restaurant, I always stop by to eat; the food is delicious, and chatting with her is always fun and helps relieve my fatigue.","Whenever I pass by the lady's shop, I stop by to eat; the food is delicious, and talking with her is so pleasant that all my tiredness disappears.","Whenever I pass by the old lady's shop, I always stop by to eat—the food is delicious, and chatting with her is so much fun that it takes all the tiredness away.",
quả này mà có tao ở nhà nhỉ?,Wouldn't it be great if I were home?,If only I had been at home for this.,If only I were home right now.,
"Bữa nay nắng khét, tranh thủ giặt chăn màn phơi là vừa","It's scorching hot today, so it's the perfect time to wash and dry blankets and sheets.","It's scorching hot today, so I'll take the opportunity to wash and hang the blankets and curtains.","Today is scorching, so I'll take the opportunity to wash the blankets and mosquito nets to dry.",
"Hà Tĩnh, lỡ đến làm quen nhầm cô em thứ 7 đứng ở giữa thì sao nhỉ?","What if, by chance, I went to Ha Tinh and introduced myself to the seventh girl standing in the middle?","Ha Tinh, what if I accidentally get acquainted with the 7th girl standing in the middle?","Hà Tĩnh, what if I accidentally end up trying to get to know the 7th girl standing in the middle?",
Để màu cái ruột với hạt thanh long chứ!,Let the flesh and seeds of the dragon fruit be colored!,Keep the color of the flesh and the dragon fruit seeds!,"Just the color of the dragon fruit flesh with its seeds, you know!",
Sao anh không chỉ sớm sớm với. Chứ giờ mắt ít khi nào mà không phải nhỏ thuốc lắm.,"Why didn't you tell me sooner? These days, I hardly ever go a day without eye drops.","Why didn't you tell me sooner? Now, there's hardly ever a time when I don't have to use eye drops.",Why didn't you tell me sooner? Now my eyes almost always require eye drops.,
Ở tận quận 3 cơ. Không biết bạn gần không chứ tôi xa chị đấy,"It's all the way in District 3. I don't know if it's close to you, but it's far from her for me.","It's all the way in District 3. I don't know if you're nearby, but I'm far from you.","All the way in District 3. I don't know if you're close by or not, but I'm pretty far from there.",
Sao không thấy mặt bà bầu đâu nhỉ?,Why can't I see the pregnant woman anywhere?,Why don't I see the pregnant woman anywhere?,Why can't I see the pregnant woman's face anywhere?,
chứ nghe hấp nhiều lần rồi chưa đã hay sao còn cố.,"You've heard that steaming it multiple times isn't enough, so why are you still trying?","But you've heard it so many times already; isn't that enough, why do you keep insisting?","So you've already listened to it many times and you're still not satisfied, or what? Why keep insisting?",
"vẫn chưa được vào, đã gãy hết rồi.","We still can't get in, everything's broken.","Still can't get in, everything has crashed.","Still can't get in, it's all broken already.",
giờ em mà lấy chồng thì không biết khai quê ở đâu chị à,"If I get married now, I don't know where to declare my hometown, sister.","If I were to get married now, I wouldn't know where to list as my hometown, sister.","If I get married now, I won't know where to register my hometown, sister.",
Xịn nhất Quảng Trị rồi gì nữa?,"This is the best place in Quang Tri, what more could you ask for?","The best in Quang Tri, what else?","Isn't it already the best in Quảng Trị, what more do you need?",
Nghi Lộc đâu nữa bạn ơi. Chàng trai người Vinh từ một/12 rồi.,"Where is Nghi Loc anymore, my friend? The guy from Vinh has been there since December 1st.",Where is Nghi Loc? The guy from Vinh has been gone since December 1st.,"Where's Nghi Lộc, my friend? The guy from Vinh has been gone since 12/1.",
không bảo hiểm nào chịu cho đủ anh nhỉ?,"No insurance policy will cover the full cost, will it?","No insurance would cover enough, right?","No insurance is willing to cover enough for me, huh?",
"Khi tối đông thật, bắn xong cái là mưa.","When it was really cold that night, it started raining right after the shooting.","When it was really cold last night, as soon as the fireworks finished, it rained.","When it gets really cold at night, it rains right after the fireworks go off.",
Quả này shop đâu quen mồm free ship Vinh thì thật nhỉ?,"This shop probably just keeps saying they offer free shipping to Vinh, right?","In this case, is the shop actually giving free shipping to Vinh just because they're used to saying it?","This product, the shop doesn't look familiar at all, but free shipping to Vinh is real?",
"Rồi hóng xong chưa? Kể nghe xem, nhanh còn đi ngủ nữa bạn ơi","Are you done waiting? Tell me about it, I need to go to sleep now!","So, are you done waiting for the news? Tell me about it; hurry up so we can go to sleep.","So are you done waiting? Tell me about it, hurry up, I'm going to sleep too, friend.",
đi ngang mãi này em,"I keep passing by here, girl.",I keep passing by here.,"I've been passing by all this time, em",
"Cháy như thế còn gì là con chuột nữa bạn ơi, ăn ung thư chết đó.","With all that burning, there's nothing left of the rat, my friend; eating it will give you cancer and kill you.","It's burnt to that extent, it's not even a mouse anymore; you'll get cancer and die.","It's so burnt it's not even a mouse anymore, my friend, you're eating cancer and will die from it.",
"Cái này ăn nóng, chứ mang về kiểu gì.",This is best eaten hot; you can't take it home.,This should be eaten hot; there's no way to take it home.,"This should be eaten hot, there's no point taking it to-go.",
Sao biết ngon. Tưởng vậy là dễ thương đỏ?,How do you know it's delicious? Did you think it was cute and red?,"How do you know it's delicious? You thought that was cute, huh?",How did you know it's good? I thought it was just cute and red?,
Chợ Do làm gì có đê.,The Do Market doesn't have a dike.,There is no dike at Do Market.,Why would there be a dyke at Chợ Đỗ?,
"Nhà giàu mới có cơm, chứ nhà mình nghèo toàn độn ngô, sắn, khoai thôi.","Only rich people had rice; our family was poor and we only ever mixed it with corn, cassava, and sweet potatoes.","Only rich families have rice; my family is poor, so we always mix it with corn, cassava, and potatoes.","Rich families get to eat rice, but my family is so poor we only have corn, cassava, and sweet potato.",
"Vậy sao em trai, sao không gặp được nhau để tâm sự vậy","So, little brother, why can't we meet up to talk?","Why is that, little brother? Why can't we meet to talk and share things?","So why, little bro, can't we meet up to talk?",
ai 2 lon ghé ngang rẽ vào rẽ vào nào,"Anyone with 2 cans passing by, turn in, turn in!","Anyone with two cans, stop by and turn in, turn in!","Anyone want to hang out, just drop by!",
Có gì trong đó không để bạn vô thành phố chơi.,Is there anything in there that would allow you to go into the city to play?,Is there anything in there so that I can come to the city to hang out?,Is there anything in there for you to come to the city to hang out?,
Có thật không để đi kể.,Is it really true that I should go and tell the story?,Is it true? I'm going to go tell people.,Is it true? Should we go tell [them]?,
Một trong những tỉnh giàu có của miền Bắc.,One of the wealthiest provinces in northern Vietnam.,One of the wealthy provinces in the North.,One of the wealthy provinces of the North.,
"Có thật không vậy trời. Hiện tượng , hay ảo tưởng vậy không biết",Is that really true? Is it a phenomenon or an illusion? I don't know.,Is this for real? I don't know if it's a phenomenon or just a delusion.,Is this for real? Is it a phenomenon or just an illusion? I don't know.,
sau này có người yêu đừng bảo người yêu mua nhé,"Later, when you have a boyfriend/girlfriend, don't ask them to buy it for you!","In the future, when you have a partner, don't ask them to buy it.","In the future, when you have a partner, don't tell your partner to buy things, okay?",
Vậy sao không rủ bạn đi?,So why not invite a friend?,Then why didn't you invite your friend?,Then why don't you invite your friend to come along?,
Ram bánh ướt xôi giò ăn sáng ở bà Liễu bán ngon lắm ạ. Mọi người qua ủng hộ.,The steamed rice rolls with pork sausage and sticky rice for breakfast at Mrs. Lieu's shop are delicious. Everyone should go and support her.,"The fried steamed rice rolls, sticky rice, and pork sausage for breakfast sold by Mrs. Lieu are very delicious. Everyone, please come and support her.","Ram (steamed rice rolls, sticky rice, and Vietnamese sausage) for breakfast at Ba Lieu's is really delicious. Everyone should come support.",
"Để sau đi, bữa nay ở nhà có gì vui không nhỉ?",Let's talk about that later. Is there anything fun happening at home today?,Let's do it later; is there anything fun happening at home today?,"Let's put it aside for now, I wonder what's fun at home today.",
"Trời này mà tắm khe thì chết rét, lên nhặt hạt dẻ hôm nay đang mùa.","Bathing in the stream in this weather would be freezing; it's better to go pick chestnuts today, as they're in season.",Bathing in the stream in this weather would be freezing to death; let's go pick chestnuts since it's the season today.,"With weather like this, taking a bath in the stream would kill me from the cold. I'll go pick chestnuts since it's the season now.",
Cái miệng làm hại cái thân.,The mouth can get you into trouble.,The mouth brings harm to the body.,The mouth brings harm upon the body.,
ngon quá này! hẹn Tết về quê nhé.,This is delicious! Let's meet up for Tet (Vietnamese New Year) when we get back home.,This looks so delicious! Let's meet up back in our hometown during Tet.,This is so delicious! Let's make a promise to go back to our hometown for Tết.,
sau này không có video xem là tại chúng mày,"If there are no videos to watch later, it's your fault.","If there are no videos to watch in the future, it's because of you guys.","In the future, if there are no videos to watch, it's because of you guys",
Màu mè. Được vài bữa bỏ nhau bây giờ đó,Flashy. They break up after a few days.,Flashy. You'll probably break up in a few days.,Being flashy. You left me after just a few days,
"trúng thật nhé trời, hôm trước mới trúng 20 nghìn đây","Wow, I really did win! I just won 20,000 the other day.","I actually won, oh my god, I just won 20 thousand the other day.","I really won, oh my god, I just won 20 thousand the other day.",
"Mới gió chứ chưa thấy mưa mự ạ, Vẫn đang lì lắm, chưa biết sợ.","It's just windy, no rain yet, sir. They're still very stubborn, not showing any fear.","It's only windy, no rain yet. Still being very stubborn, doesn't know fear yet.","Just the wind, no rain yet. Still holding out strong, doesn't know fear.",
"Về quê quét sân cho mẹ một bữa , thì đúng bữa gió to","I went back to my hometown to sweep the yard for my mother, and it happened to be a very windy day.","I went back to my hometown to sweep the yard for my mother for a bit, and it happened to be exactly when the wind was strong.","I went back to my hometown to sweep the yard for my mom for a bit, and right then there was a strong wind.",
ăn thua gì nửa bánh xe rồi kia nhỉ.,That's nothing compared to half a wheel already!,"What's the point, since it's already half a wheel's length ahead.",What's the point of half a wheel over there anyway.,
