standard,A,B,C,winner
Ý là đợi tầm 11 năm nữa thôi à.,"So, we just have to wait about another 11 years?",You mean I only have to wait for about another 11 years?,"Meaning we just need to wait about 11 more years, right?",
"Me rừng ngon ,nấu canh chua thì tuyệt vời","Wild tamarind is delicious, and it's fantastic when used in sour soup.",Wild tamarind is delicious; it's wonderful for cooking sour soup.,"Wild tamarind is delicious, and cooking sour soup with it is absolutely wonderful.",
Say thì nói say chứ sao anh? Uống vô rồi sợ máu nó khác đi chứ sao nữa anh?,"If you're drunk, just say you're drunk, what else could it be? You drink, and then you're afraid your blood will be different, right?","When I say I'm drunk, I mean I'm drunk, what else? Once I drink, I'm afraid my blood will change, what else could it be?","If you're drunk, just say you're drunk, what's the big deal? You drank it, so why are you afraid your blood might change—what else?",
"Không ấy mình Tết một ngày thôi được không, rồi mình ở nhà ngủ xong rồi hết Tết luôn","How about we just celebrate Tet for one day, then I'll stay home, sleep, and that's the end of Tet.","No, can we just have one day of Tet? Then I'll just stay home and sleep until Tet is over.","No, can I just celebrate Tết for one day, then stay home and sleep, and then Tết is over already",
Hình như có mẹ cái thằng đăng bài đang bán bánh ướt đấy.,It seems like the mother of the guy who posted the ad is selling rice noodle rolls.,It looks like the mother of the guy who posted the post is selling steamed rice rolls.,It seems like that guy who posted is selling bánh ướt over there.,
Con tôi đẻ tụi tự đặc tên chồng tôi cũng theo ý tôi. Tôi quyết và thấy ổn là được.,"My children were born and we named them after my husband, just as I wanted. I made the decision and if I felt it was okay, then it was fine.","I named my children myself, and my husband's name also follows my wishes. As long as I decide and find it okay, that's enough.","My child gave birth and they named themselves, my husband also went along with my wish. I decided and as long as I'm okay with it, that's fine.",
Thấy mà bất lực. Hay ai đó cho mình ăn online cho thoả cơn thèm cũng được.,I feel so helpless. Maybe someone could feed me something online to satisfy my craving.,I feel so helpless. Or maybe someone could just feed me online to satisfy my cravings.,"It's so frustrating to see. Or if someone could just feed me online to satisfy my cravings, that would work too.",
Hộ quá nghèo chứ cận đâu nữa mày.,"They're extremely poor, not even close to being near the border.","The household is just too poor, not nearsighted, man.","I'm so broke I can't even manage things close to me, let alone anywhere else.",
Bạn coi sao chứ trôi mấy kì điếu cày.,What do you think? It's been a few weeks since I smoked my pipe.,What do you think? I've gone through several bamboo pipes.,"What can you do, just a few semesters of skipping class have drifted by.",
Cơ cấu chạy trang bạn này được đấy em nhỉ?,"Your website structure looks pretty good, doesn't it?","The page structure this person is running is pretty good, don't you think?","This page running mechanism of yours is pretty good, huh?",
"Để con qua tiệm chú uống thử, nếu không ngon là chú mệt với con đấy nhé!","Let me go to your shop and try it out. If it's not good, you'll be in trouble with me!","Let me come over to your shop to try it; if it's not delicious, you'll have to deal with me!","Let me go try it at uncle's shop. If it's not delicious, uncle, you'll have to deal with me, okay!",
Ước có ai dắt đi chơi nhỉ!,I wish someone would take me out to play!,I wish someone would take me out!,I wish someone would take me out to hang out.,
Đô Lương cũng đâu thua kém.,Do Luong is no less impressive.,Do Luong is not inferior either.,Đô Lương is also just as good.,
Giải này thầy bận hay sao mà đánh sớm nghỉ sớm thầy nhỉ?,Is the teacher busy with this tournament or something? Why did we have to start playing and finish early?,"Is teacher busy or something that we're playing early and finishing early, teacher?","Is this session starting early and ending early because you're busy or something, teacher?",
"Thế ư, quê mình giỏi nhỉ?",Really? My hometown is so impressive!,"Is that so, people from my hometown are talented, aren't they?","Wow, my hometown is really something, huh?",
"Đòi đăng gì nữa, chúng mày.","What else do you want to post, guys?","What else do you want to post, you guys?",What else are you all demanding to post?,
"Bạn ơi mới 3 năm mà bạn bằng người ta rồi kìa, kể cách làm giàu cho họ kìa.","Hey friend, you've only been here 3 years and you're already as good as them! Tell them how you got rich.","Hey, it's only been 3 years and you're already on their level, go tell them how to get rich.","Hey, you've already caught up with others in just 3 years, share how you got rich with them!",
Sao đâu? có nữa mà.,Why not? There are more.,Why? There's still more.,So what? There's more though.,
Không nổ pháo hoa để chúng ta chạy ra coi cái nhé.,"No fireworks, let's run out and watch them!",Don't set off the fireworks so that we can run out to see them.,"Fireworks aren't going off, so let's run out and see.",
đi bảo vệ biển đảo chứ bà làm được gì?,What else could she do besides protect the sea and islands?,Go protect the sea and islands; what can you even do?,"Going to protect the seas and islands, but what can you even do?",
Có tiền mua bò không mà đòi giữ bò?,"Do you even have the money to buy a cow, let alone keep one?","Do you even have the money to buy a cow, yet you want to keep one?","You don't even have the money to buy a cow, yet you want to keep one?",
Kim bảng giàu hơn duy tiên luôn.,Kim Bang is richer than Duy Tien.,Kim Bang is even wealthier than Duy Tien.,Kim Bảng is always richer than Duy Tiên.,
Bạn tôi sáng này vào bắt mót tôm cá mà không có con nào. Tội!,"My friend went out this morning to scavenge for shrimp and fish, but there wasn't a single one. What a shame!",My friend went out this morning to scavenge for shrimp and fish but didn't get a single one. Poor thing!,My friend went to catch some shrimp and fish this morning but didn't catch a single one. Poor thing!,
"Văn này xứ Bình Định, Phú Yên chắc rồi",This text is definitely from Binh Dinh or Phu Yen province.,This writing is definitely from the Binh Dinh or Phu Yen region.,"This is from Binh Dinh, Phu Yen area for sure",
Ê. Không cần Ecopark đâu. Chung cư nhà cô cũng không ngập này. Mà ra đường nước lên tận háng.,"Hey. We don't need Ecopark. My apartment building doesn't get flooded either. But outside, the water is waist-deep.","Hey. No need for Ecopark. My aunt's apartment building isn't flooded either. But out on the street, the water is up to the groin.","Hey. No need for Ecopark anyway. My apartment complex doesn't flood either. But outside on the street, the water rises up to my crotch.",
Phơi giữa đường vậy chứ còn già mồm lắm,"Even though they're standing in the middle of the road, they're still talking big.","Exposed in the middle of the street like that, but still talking too much.","Drying it right in the middle of the road like that, and yet they still yap nonstop.",
Cô gái Hà Tĩnh này ở chỗ nào vậy?,Where is this girl from Ha Tinh?,Where is this Ha Tinh girl located?,Where is this Hà Tĩnh girl?,
Kì này phải hốt cho được chứ,We have to grab this opportunity this time!,I have to get it this time.,This time I'm definitely going to win big,
"thảo nào tao nằm mơ thấy, chứ tao bận ngủ","No wonder I dreamt about it, I was too busy sleeping.","No wonder I dreamed about it, because I was busy sleeping.","No wonder I dreamed about it, I was busy sleeping",
"Nghệ An tổ chức ghê nhỉ, chuyến này phải sang đây chữa lành cái rồi về.","Nghe An organizes things really well, I have to come here to get some treatment before I go back.","Nghe An is organizing things impressively, huh; I must go there this trip to heal and then come back.","Nghệ An's organization is impressive, I need to go there for some healing and then come back.",
Bảo thế thôi mà nay mẹ làm cho cả bát tô,"I just said that, but today Mom made me a whole bowlful.","I only said that, but today my mom made me a whole bowl.","I was just joking, but today mom made me a whole bowl of noodles",
Bà theo kịp xu hướng giới trẻ luôn nể bà thiệt.,"She keeps up with the trends, and young people always admire her for it.",You keep up with youth trends; I really admire you.,"She keeps up with youth trends, I really respect her for that.",
"Hít khí trời. Tắm mưa, tắm nắng tháng 3 chục nhẹ nhàng.",Breathe in the fresh air. Enjoy the gentle rain and sunshine of March.,Breathe in the fresh air. Bathe in the rain and the gentle sunlight of March.,"Breathe in the fresh air. Bathing in the rain, sunbathing during late March — so gentle and light.",
"Nhìn đấy mà học và trao tận tay cho bà con, chứ đừng để gửi ra rồi bỏ túi nhỉ!","Learn from this and pass the knowledge directly to the people, instead of just sending it out and keeping it in your pocket!","Look at that and learn to deliver it directly to the people, rather than sending it out and then pocketing it, right!","Look at this and learn from it, then hand it directly to the people, instead of sending it out and pocketing the money!",
Mới đi đám cưới ở Yên Thành về mà đâu thấy món này.,I just got back from a wedding in Yen Thanh and I didn't see this dish anywhere.,"I just got back from a wedding in Yen Thanh, but I didn't see this dish there.",I just got back from a wedding in Yên Thành but didn't even see this dish.,
Rẽ xuống tìm nhà nghỉ không xong nên mất hứng rồi chia tay đấy nhỉ,"They couldn't find a guesthouse, so they lost interest and broke up, right?","Turning off to look for a motel didn't work out, so the mood was ruined and that's why you broke up, right?","I turned down a road looking for a motel but couldn't find one, so I lost interest, and then we broke up.",
"tao đuổi nó rồi, quay đầu đi rồi.","I chased him away, he turned around and left.","I chased it away, and it turned around and left.","I chased it off, now I'm turning back.",
"Làm mà ăn, không được đâu mà trông chờ vào đấy.",You have to work for your living; don't expect anything from it.,Work for your living; you can't just rely on that.,Just do the work yourself and earn your own living. You won't get anywhere relying on that.,
khi tối uống rượu mà lão thèm bia quá,"Last night, after drinking alcohol, the old man was craving beer.","When I drank wine tonight, I craved beer so much.","When drinking wine in the evening, I really crave beer.",
có đi đâu ra khỏi nhà được đâu mà lo,There's nothing to worry about since I can't even leave the house.,"I can't even go anywhere outside the house, so why worry?","I can't even go anywhere outside anyway, so what's there to worry about?",
"Anh đang ở đâu, chiều qua khu đô thị Xuân An uống một cốc nào?",Where are you? How about a drink at the Xuan An urban area this afternoon?,"Where are you? This afternoon, let's go to the Xuan An urban area for a drink.","Where are you, how about having a drink at Xuân An urban area yesterday afternoon?",
xem có tao với mày không chứ ai mà chụp nhanh ghê,"Let's see if it's just you and me, who else could take such a quick picture?","See if you and I are in there, because whoever took the photo was so fast.","Let me check if I'm in this with you, because who takes photos that fast, seriously",
"Nhớ chứ em, khi nào ghé Tân Vĩnh Quán chị mời cua","I remember, dear. When you visit Tan Vinh Quan, I'll treat you to crab.","I remember, dear; whenever you visit Tan Vinh Quan, I'll treat you to some crab.","Remember, right? When you visit Tân Vĩnh Quán, I'll treat you to crab.",
Huda loại xanh đậm nó đắt hơn hay sao mà nó lựa chọn vậy,"Is the dark green Huda cream more expensive, or why did they choose that one?","Is the dark blue Huda more expensive, or why did they choose that one?","Is the dark green Huda more expensive or something, is that why it was chosen?",
"Ăn đâu được mà hết hay không. Củ sắn này phải mấy năm rồi, giờ ruột vừa đắng.",It's impossible to eat it all or not. This cassava root is several years old; now the inside is quite bitter.,"How can I eat it and have it be finished or not. This cassava root is several years old now, and the inside is bitter.","Where can you even eat it all? This cassava has been here for years, now the flesh is bitter.",
Vậy khi nào gần vi phạm thì có đèn báo nhắc không?,"So, will there be a warning light when a violation is imminent?","So when it's close to a violation, will there be a warning light?","So when I'm about to violate, is there a warning light to remind me?",
Thế muốn qua bên kia đường là phải rẽ phải đi vòng công viên rồi lại rẽ trái hả,"So, to get to the other side of the road, I have to turn right, go around the park, and then turn left again?","So to get to the other side of the road, I have to turn right, go around the park, and then turn left?","So to get to the other side of the road, I have to turn right, go around the park, and then turn left, right?",
không thấy kê khai tiền đâu nhỉ?,I don't see any declaration of money anywhere.,I don't see any money declared here?,I can't find the money declaration anywhere.,
Gì bôi tao gớm vậy mày?,Why did you smear that all over me?,Why did you paint me so horribly?,What did you apply? You're so disgusting.,
Mình cũng thấy cục to nhưng không dám nhặt.,"I saw the big one too, but I didn't dare pick it up.",I also saw a big piece but didn't dare to pick it up.,I also saw the big lump but didn't dare pick it up.,
Bán ở đâu vậy hôm nào mình về ghé ủng hộ,Where do you sell it? I'll stop by and support you when I'm back home.,Where are you selling? I'll stop by and support you when I return.,Where do you sell? I'll stop by to support when I come back one of these days.,
Bạn giờ có cả mai mối thế này nữa sao nhỉ?,You even have matchmaking services these days?,Do you even have matchmakers like this now?,Do you even have matchmaking services like this now too?,
"Chỗ này ngon, tôi ăn nhiều lần rồi nhé.","This place is delicious, I've eaten here many times.",This place is delicious; I've eaten here many times.,"This place is delicious, I've eaten here many times already.",
Ngày này lên báo suốt đi. Mệt. Không muốn trả lời.,These days are all over the news. I'm tired. I don't want to respond.,This is in the news every day. Exhausting. I don't want to answer.,This kind of thing keeps being on the news all the time. I'm exhausted. I don't want to respond.,
"Công nhận, đi Đài mà chịu khó đi đêm nhiều thì xây 3 cái như thế này cũng bình thường.","Admittedly, if you're willing to travel at night a lot in Taiwan, building three of these is quite normal.","I admit, if you're willing to go out at night a lot while visiting Taiwan, then building three things like this is quite normal.","I have to admit, working in Taiwan and being willing to put in long hours at night, building 3 of these is also pretty normal.",
"Tao hôm nay là dân Thành Phố rồi, đừng có đùa với tao.","I'm a city dweller now, don't mess with me.","I'm a city person now, so don't mess with me.","I'm a city person now, don't mess with me.",
vậy là sắp được chơi rồi đúng không này,"So, we're about to get to play, right?","So that means I'll get to play soon, right?","So I'll get to play soon, right?",
họ bị vậy rồi mà xin địa chỉ làm chi ông nội,"They're already in that situation, so why are you asking for their address, grandpa?","They're already like that, so why on earth are you asking for the address?","They're already in that situation, so what's the point of asking for the address, old man?",
"bà đó còn bán không nhỉ, thời đó là bà già lắm rồi đó",I wonder if that old lady is still selling things? She must be quite old back then.,"Is that lady still selling it? Back then, she was already very old.",Is that woman still selling? Back then she was already very old.,
Vietngoc Phan chưa thấy đạt trúng bữa nào nhỉ?,"Vietngoc Phan hasn't won any meals yet, has he?","Vietngoc Phan hasn't won a single time yet, has she?","Vietngoc Phan hasn't won any bets yet, huh?",
Trưa nóng vỡ đầu.,It was scorching hot at noon.,The noon heat is splitting my head.,It's scorching hot at noon.,
Sáng đi qua vừa thấy phơi con cá vàng giữa nắng mà chiều về thấy có người cầu hôn rồi.,"I saw a goldfish drying in the sun this morning, and by evening, someone had proposed to me.","This morning when I passed by, I saw a goldfish being dried in the sun, but when I returned this afternoon, I saw someone proposing.","This morning I walked past and just saw someone drying a goldfish in the sun, but by afternoon when I got back, I saw that someone had proposed already.",
Thấy con trai khóc mình thấy sung sướng thế nhỉ.,Seeing my son cry makes me feel so happy.,"Seeing my son cry makes me feel so happy, doesn't it?","I feel so delighted seeing the boy cry, huh.",
phải nói là bánh căn ở đây đắt nức tiếng chứ ngon thì không nhé,"I have to say, the banh can (rice flour pancakes) here are notoriously expensive, but they're not delicious.","I have to say that the bánh căn here is famous for being expensive, but not for being delicious.","I have to say, the bánh căn here is famous for being expensive, but it's not actually delicious though",
phải quán Vân Trang Cổ Cò rẽ vào không bạn,Is it the Van Trang Co Co restaurant that you turn off at?,Do I have to turn in at Van Trang Co Co restaurant?,"Is it the Vân Trang restaurant at Cổ Cò that we turn into, right?",
sao hồi đầu giống em nhỉ?,Why did you look so much like me at first?,Why did it seem like me at first?,How come it was like me in the beginning?,
bảo mẹ mua ít về nấu mì chị.,I told Mom to buy some so we can cook noodles together.,"Tell mom to buy some to cook noodles, sister.","Tell mom to buy some noodles for us to cook, sis.",
về quậy kẻo công an bắt nữa.,"Go home and cause trouble, or the police will arrest you again.","Go back home and stop causing trouble, otherwise the police will arrest you again.","Let's stop messing around, or the police will arrest us again.",
Chia sẻ bài này cô à? Với ấn cái chữ xanh like theo dõi trang kia là được.,"Please share this post, miss! And just click the blue ""like"" and ""follow"" button on that page.","Share this post, ma'am? Just click the blue ""like"" text to follow that page.","Share this post, Mom? And just press the blue like button and follow that page and you're good.",
Nhà bác ở đâu vậy các bạn?,"Where does your uncle live, guys?","Where is the uncle's house, everyone?","Where is Uncle's/Aunt's house, everyone?",
sau này về quê lẹ lắm này chồng.,"We'll be going back to our hometown very quickly later, husband.","In the future, we'll get back to our hometown very quickly, hubby.","Later I'll go back to my hometown really quickly, husband.",
làm một bộ ảnh với mẫu lại hay đấy nhỉ.,"Doing a photoshoot with a model would be a great idea, wouldn't it?","Doing a photo shoot with the same model again would be a great idea, wouldn't it?","Taking another photo shoot with a model would be cool, huh.",
"Về thằng này là không được rồi. Để anh em bàn lại cách sống cái, chứ nghe không ổn.","This guy is no good. Let's discuss how we should live our lives, because this doesn't sound right.","Regarding this guy, it's not going to work. Let us discuss how to handle this again, because this doesn't sound right.","This one's definitely not working out. Let's discuss that living arrangement again, because it doesn't sound right.",
"Phải chi gặp được người để mình nhớ đến thế, bạn mình nhỉ.","I wish I could meet someone who would leave such a lasting impression, my friend.","If only I could meet someone to miss that much, wouldn't it be great, my friend?","I wish I could meet that person I miss so much, my friend.",
Thủy Tề của bạn đâu rồi.,Where is your Sea God?,Where is your Neptune?,Where's your Thủy Tề?,
Đen thật sự. Mới đầu năm mới mang xe ra nhà một cái bị mấy anh hỏi thăm luôn.,"What bad luck. Right at the beginning of the new year, I took my car out of the garage and the police started questioning me.",Really unlucky. Just brought my bike out of the house at the start of the new year and immediately got stopped by the police.,Really unlucky. I just brought my car out at the start of the new year and immediately got questioned by some guys.,
Tỉnh là phải chối chứ sao.,The province has no choice but to deny it.,"If you're awake, you have to deny it, right?","Being cool means you have to deny it, right? What else?",
Có không để biết tìm người yêu bên Đắk Lắk này.,Is it possible to find a lover in Dak Lak?,Is there any way to know how to find a lover here in Đắk Lắk?,Is there a way to find a girlfriend/boyfriend here in Đắk Lắk?,
hôm nào tới chỗ của chúng mày đấy.,I'll come to your place sometime.,"One of these days, I'll come to your place.",Some day I'll come over to your guys' place.,
"Công ty này làm gì, đăng lên cho có ạ?",What does this company actually do? Is it just for show?,"What does this company actually do, or are they just posting for the sake of it?","What does this company even do, just posting for the sake of having something there?",
đầu đường vào nhà chị đấy. Bà con gần với mình đấy nhóc.,"That's at the beginning of the street leading to her house. She's a close relative of ours, kid.","It's at the beginning of the road to my house. They are relatives of ours, kid.","It's at the beginning of the road leading to chị's house. They're relatives close to me, kid.",
Trên cả tuyệt vời. Khi nào đến giờ mới thấy một bác sĩ.,Absolutely amazing. When will I ever see a doctor like this?,Beyond wonderful. It took so long before I finally saw a doctor.,Absolutely wonderful. When do I get to see a doctor?,
"Chỉ mang tính chất minh họa thôi, chứ mùa này sen đào đâu ra.",This is just for illustrative purposes; there are no lotus flowers or peach blossoms available this season.,"This is just for illustration purposes, because there are no lotuses available this season.","Just for illustration purposes only, because this isn't the season for lotus and peach blossoms.",
Mình nhớ bà nội lắm rồi !,I miss my grandmother so much!,I miss my paternal grandmother so much already!,I miss my grandmother so much already!,
Lo việc dân đảm việc nhà thế này mà vợ bảo không được tích sự gì cả,"I'm juggling public affairs and household chores like this, and my wife says I'm not doing anything useful.","I take care of public affairs and handle the housework like this, yet my wife says I'm useless.","I'm taking care of both civic duties and household responsibilities like this, yet my wife says I haven't accomplished anything useful at all.",
